[2026-03-21 15:33:49,405] 17 root - INFO -Intiate the data ingestion
[2026-03-21 15:33:59,475] 58 root - INFO -Performed train test split on the dataframe
[2026-03-21 15:33:59,475] 59 root - INFO -Exited split_Data_as_train_test method of Data_Ingestion class
[2026-03-21 15:33:59,475] 65 root - INFO -Exporting train and test file path.
[2026-03-21 15:33:59,588] 70 root - INFO -Exported train and test file path.
[2026-03-21 15:33:59,589] 19 root - INFO -Data Intiation Completed
[2026-03-21 15:33:59,632] 25 root - INFO -Initiate the data validation
[2026-03-21 15:33:59,720] 31 root - INFO -required number of columns:2
[2026-03-21 15:33:59,721] 32 root - INFO -data Frame has 31 columns
[2026-03-21 15:33:59,721] 31 root - INFO -required number of columns:2
[2026-03-21 15:33:59,722] 32 root - INFO -data Frame has 31 columns
[2026-03-21 15:33:59,984] 27 root - INFO -data validation Completed
[2026-03-21 15:33:59,986] 32 root - INFO -Data transformation started
[2026-03-21 15:33:59,987] 57 root - INFO -entered initiate_data_tranformation method of Data Transformation class
[2026-03-21 15:33:59,987] 59 root - INFO -Starting data Transformation
[2026-03-21 15:34:00,064] 45 root - INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2026-03-21 15:34:00,065] 50 root - INFO -Initialised KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-03-21 15:34:00,135] 44 root - INFO -Entered the save_object method of MainUtils class
[2026-03-21 15:34:00,143] 48 root - INFO -Exited the save_object method of MainUtils class
[2026-03-21 15:34:00,148] 36 root - INFO -Data transformation completed
[2026-03-21 15:34:00,148] 39 root - INFO -Model Training started
[2026-03-21 15:39:16,822] 44 root - INFO -Entered the save_object method of MainUtils class
[2026-03-21 15:39:16,823] 48 root - INFO -Exited the save_object method of MainUtils class
[2026-03-21 15:39:16,823] 118 root - INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_21_2026_15_33_28\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991442542787286, precision_score=0.9910386965376782, recall_score=0.9918467183041174), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9752988047808765, precision_score=0.9722001588562351, recall_score=0.9784172661870504))
[2026-03-21 15:39:16,828] 43 root - INFO -Model training artifact created
